　　　　　　　　电影名称　　　　　　　　	    评分    	   评论人数   	短评　　　　　　　　
　　　　　　　　荒岛余生　　　　　　　　	   8.4    	  117948  	一个人的独角戏。　　
　　　　　　　　模仿游戏　　　　　　　　	   8.5    	  222811  	无　　　　　　　　　
　　　　　　　　爱在暹罗　　　　　　　　	   8.3    	  205533  	把爱放在心底，有爱就有希望。
　　　　　　　　中央车站　　　　　　　　	   8.7    	  70519   	心灵救赎。　　　　　
　　　　　　　疯狂动物城　　　　　　　　	   9.2    	  440985  	无　　　　　　　　　
　　　　　　　　两小无猜　　　　　　　　	   8.2    	  295829  	Love me, if you dare. 
　　　　　　　　　月球　　　　　　　　　	   8.5    	  127623  	2009媲美《第九区》的又一部科幻神作。
　　　　　　　　千钧一发　　　　　　　　	   8.7    	  72145   	一部能引人思考的科幻励志片。
　　　　　　　疯狂的石头　　　　　　　　	   8.2    	  274182  	中国版《两杆大烟枪》。
　　　　　　　　罪恶之城　　　　　　　　	   8.4    	  129760  	权力不是来自枪和子弹，权力来自谎言。
　　　　　　　　　枪火　　　　　　　　　	   8.6    	  85923   	一群演技精湛的戏骨，奉献出一个精致的黑帮小品，成就杜琪峰群戏的巅峰之作。
　　　　　　　　寿司之神　　　　　　　　	   8.8    	  71988   	仪式主义的狂欢，偏执狂的完胜。
　　　　　　　　我爱你　　　　　　　　　	   9.0    	  48179   	你要相信，这世上真的有爱存在，不管在什么年纪 
　　　　　　爱在午夜降临前　　　　　　　	   8.7    	  99173   	所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。
　　　　　　　　廊桥遗梦　　　　　　　　	   8.5    	  86716   	这样确切的爱，一生只有一次。
　　　　　　　　角斗士　　　　　　　　　	   8.4    	  117833  	罗马斗兽场的鸦雀无声，久久停留在这样的肃穆中。
　　　　　　　假如爱有天意　　　　　　　	   8.2    	  208613  	琼瑶阿姨在韩国的深刻版。
　　　　　　　　黑鹰坠落　　　　　　　　	   8.5    	  96854   	还原真实而残酷的战争。
